timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ
1391562106.16,0.4694,0.6216,-0.1104,0.301,0.3884,0.819,1.4979195561719834,-0.5187239944521498,0.8793342579750347
1391562106.17,0.5308,0.6666,-0.0858,0.2096,0.4442,0.819,1.4979195561719834,-0.5187239944521498,0.8793342579750347
1391562106.17,0.545,0.6832,-0.0348,0.1016,0.5252,0.8188,1.5090152565880721,-0.47434119278779474,0.8099861303744799
1391562106.18,0.4852,0.6576,0.0102,0.1392,0.57,0.819,1.5090152565880721,-0.47434119278779474,0.8099861303744799
1391562106.19,0.3784,0.5894,0.026,0.2546,0.5412,0.819,1.5478502080443828,-0.42163661581137307,0.8460471567267683
1391562106.19,0.293,0.4856,0.0266,0.3358,0.4656,0.819,1.5478502080443828,-0.42163661581137307,0.8460471567267683
1391562106.2,0.26,0.4078,0.0246,0.34,0.392,0.8188,1.5423023578363384,-0.42163661581137307,0.8349514563106796
1391562106.2,0.2618,0.2998,0.0216,0.2926,0.3472,0.819,1.5423023578363384,-0.42163661581137307,0.8349514563106796
1391562106.21,0.277,0.2162,0.021,0.2404,0.3276,0.819,1.5423023578363384,-0.42163661581137307,0.8349514563106796
1391562106.22,0.282,0.1592,0.0258,0.2032,0.3282,0.819,1.564493758668516,-0.44105409153952846,0.7877947295423023
1391562106.22,0.2656,0.121,0.0322,0.192,0.325,0.819,1.564493758668516,-0.44105409153952846,0.7877947295423023
1391562106.23,0.1988,0.0682,0.0308,0.196,0.2982,0.819,1.5561719833564494,-0.42995839112343964,0.7766990291262136
1391562106.25,0.1292,0.0702,0.0074,0.2646,0.3236,0.819,1.5728155339805825,-0.42441054091539526,0.7600554785020804
1391562106.25,0.1076,0.0926,0.0016,0.2478,0.3468,0.8188,1.5561719833564494,-0.4576976421636616,0.768377253814147
1391562106.26,0.0896,0.1126,0.0022,0.2572,0.3438,0.819,1.5561719833564494,-0.4576976421636616,0.768377253814147
1391562106.26,0.077,0.1242,0.0054,0.2382,0.3512,0.819,1.550624133148405,-0.42163661581137307,0.7794729542302358
1391562106.27,0.069,0.1322,0.0084,0.228,0.356,0.8188,1.550624133148405,-0.42163661581137307,0.7794729542302358
1391562106.28,0.0638,0.136,0.0118,0.2238,0.359,0.819,1.550624133148405,-0.42163661581137307,0.7794729542302358
1391562106.28,0.0586,0.135,0.0148,0.236,0.34,0.819,1.5478502080443828,-0.40499306518723993,0.7766990291262136
1391562106.29,0.0504,0.123,0.0172,0.2622,0.3476,0.8188,1.5700416088765603,-0.39667128987517336,0.768377253814147
1391562106.3,0.0484,0.1154,0.0172,0.2546,0.3492,0.819,1.5700416088765603,-0.39667128987517336,0.768377253814147
1391562106.31,0.0426,0.1072,0.0202,0.2522,0.3446,0.819,1.5589459084604715,-0.42995839112343964,0.7794729542302358
1391562106.31,0.0336,0.1004,0.0246,0.2532,0.3422,0.819,1.5589459084604715,-0.42995839112343964,0.7794729542302358
1391562106.32,0.0216,0.0954,0.0292,0.2688,0.3424,0.819,1.5839112343966713,-0.39389736477115117,0.7905686546463245
1391562106.32,0.0112,0.0932,0.0346,0.2632,0.3452,0.819,1.5839112343966713,-0.39389736477115117,0.7905686546463245
1391562106.34,-0.0092,0.0904,0.0398,0.2484,0.3514,0.819,1.5561719833564494,-0.391123439667129,0.7933425797503467
1391562106.34,-0.0198,0.0928,0.0368,0.2624,0.359,0.819,1.5561719833564494,-0.391123439667129,0.7933425797503467
1391562106.35,-0.028,0.0994,0.0316,0.2552,0.354,0.819,1.5478502080443828,-0.37170596393897365,0.768377253814147
1391562106.37,-0.0588,0.1588,-0.0112,0.2538,0.3702,0.819,1.5395284327323162,-0.3800277392510402,0.8099861303744799
1391562106.38,-0.0646,0.1734,-0.0204,0.2492,0.3716,0.819,1.5395284327323162,-0.3800277392510402,0.8099861303744799
1391562106.38,-0.0688,0.1822,-0.0278,0.2474,0.3686,0.819,1.5423023578363384,-0.3578363384188627,0.8099861303744799
1391562106.39,-0.07,0.185,-0.0334,0.2494,0.3638,0.819,1.5423023578363384,-0.3578363384188627,0.8099861303744799
1391562106.39,-0.0676,0.1826,-0.0382,0.2534,0.357,0.819,1.5423023578363384,-0.3578363384188627,0.8099861303744799
1391562106.4,-0.0608,0.1758,-0.042,0.2478,0.3482,0.819,1.5256588072122053,-0.3578363384188627,0.826629680998613
1391562106.41,-0.0556,0.1688,-0.043,0.2482,0.3416,0.819,1.5256588072122053,-0.3578363384188627,0.826629680998613
1391562106.41,-0.0486,0.1574,-0.0422,0.2494,0.3366,0.819,1.5312066574202496,-0.3606102635228849,0.8321775312066574
1391562106.42,-0.04,0.1452,-0.04,0.2494,0.3326,0.819,1.5312066574202496,-0.3606102635228849,0.8321775312066574
1391562106.42,-0.0308,0.1312,-0.037,0.251,0.326,0.8188,1.5423023578363384,-0.3855755894590846,0.8599167822468793
1391562106.43,-0.0228,0.116,-0.0334,0.2556,0.3172,0.819,1.5423023578363384,-0.3855755894590846,0.8599167822468793
1391562106.44,-0.0122,0.0902,-0.0214,0.2568,0.3176,0.819,1.5423023578363384,-0.3522884882108183,0.8238557558945908
1391562106.45,-0.005,0.0768,-0.0074,0.26,0.3232,0.819,1.536754507628294,-0.3522884882108183,0.8321775312066574
1391562106.46,-0.0038,0.0742,0.0,0.2658,0.3228,0.819,1.536754507628294,-0.3522884882108183,0.8321775312066574
1391562106.47,-0.002,0.0742,0.0076,0.267,0.3266,0.819,1.5312066574202496,-0.3578363384188627,0.8294036061026352
1391562106.47,0.0,0.0752,0.0148,0.2594,0.3342,0.819,1.5312066574202496,-0.3578363384188627,0.8294036061026352
1391562106.48,0.0016,0.076,0.0222,0.2294,0.338,0.819,1.5423023578363384,-0.34119278779472956,0.826629680998613
1391562106.48,0.002,0.078,0.023,0.2408,0.343,0.819,1.5423023578363384,-0.34119278779472956,0.826629680998613
1391562106.5,0.0002,0.09,0.0026,0.2644,0.3272,0.8188,1.5423023578363384,-0.3522884882108183,0.8377253814147018
1391562106.51,-0.0004,0.0988,-0.0066,0.2586,0.3316,0.819,1.5423023578363384,-0.3522884882108183,0.8377253814147018
1391562106.52,0.0006,0.1028,-0.0106,0.2542,0.3374,0.8188,1.5395284327323162,-0.3578363384188627,0.8321775312066574
1391562106.53,0.0032,0.1048,-0.015,0.2512,0.3366,0.819,1.5395284327323162,-0.3578363384188627,0.8321775312066574
1391562106.53,0.0064,0.1046,-0.0202,0.2524,0.3296,0.819,1.536754507628294,-0.33841886269070737,0.8460471567267683
1391562106.54,0.0088,0.104,-0.0252,0.2546,0.3268,0.819,1.536754507628294,-0.33841886269070737,0.8460471567267683
1391562106.55,0.0118,0.1008,-0.0332,0.252,0.3252,0.819,1.5339805825242718,-0.3606102635228849,0.8099861303744799
1391562106.56,0.0124,0.096,-0.0354,0.2514,0.322,0.8188,1.5450762829403606,-0.3522884882108183,0.8460471567267683
1391562106.56,0.012,0.0908,-0.037,0.2528,0.3246,0.819,1.5450762829403606,-0.3522884882108183,0.8460471567267683
