timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ
1386186008.15,0.4052,0.5014,0.5404,-0.026,-0.0814,0.0014,-0.026,0.138888888889,0.383333333333,1.33888888889
1386186008.15,0.4052,0.5076,0.5474,-0.0316,-0.0604,-0.0006,-0.026,0.138888888889,0.383333333333,1.33888888889
1386186008.16,0.4096,0.5136,0.5554,-0.0386,-0.04,-0.0004,-0.0288,0.1,0.375,1.33611111111
1386186008.17,0.4162,0.5108,0.5586,-0.0468,-0.018,0.0024,-0.0288,0.1,0.375,1.33611111111
1386186008.17,0.4142,0.507,0.555,-0.0566,0.0046,0.0058,-0.0294,0.0916666666667,0.372222222222,1.35
1386186008.18,0.4072,0.5024,0.555,-0.064,0.0258,0.01,-0.0294,0.0916666666667,0.372222222222,1.35
1386186008.18,0.4066,0.5034,0.5606,-0.074,0.039,0.0132,-0.0306,0.075,0.377777777778,1.33611111111
1386186008.19,0.4114,0.5062,0.5636,-0.0828,0.0586,0.0182,-0.0306,0.075,0.377777777778,1.33611111111
1386186008.2,0.4076,0.5054,0.558,-0.0932,0.0812,0.0226,-0.0306,0.075,0.377777777778,1.33611111111
1386186008.21,0.3998,0.4886,0.5476,-0.114,0.1306,0.0314,-0.032,0.0555555555556,0.380555555556,1.31666666667
1386186008.21,0.3984,0.4804,0.5442,-0.121,0.1502,0.0364,-0.0322,0.0527777777778,0.388888888889,1.31666666667
1386186008.22,0.3952,0.4744,0.5438,-0.1252,0.1642,0.04,-0.0322,0.0527777777778,0.388888888889,1.31666666667
1386186008.23,0.3932,0.4684,0.5432,-0.1268,0.1734,0.042,-0.0348,0.0166666666667,0.394444444444,1.32777777778
1386186008.23,0.3928,0.4676,0.5452,-0.1264,0.1762,0.043,-0.0348,0.0166666666667,0.394444444444,1.32777777778
1386186008.24,0.3948,0.476,0.5492,-0.1254,0.1714,0.0448,-0.0356,0.00555555555556,0.430555555556,1.32222222222
1386186008.24,0.3978,0.4834,0.5562,-0.1238,0.1622,0.048,-0.0356,0.00555555555556,0.430555555556,1.32222222222
1386186008.25,0.3972,0.4856,0.557,-0.1234,0.1538,0.0514,-0.0356,0.00555555555556,0.430555555556,1.32222222222
1386186008.26,0.3938,0.4834,0.5562,-0.1242,0.1486,0.0542,-0.0372,-0.0166666666667,0.425,1.31388888889
1386186008.26,0.3922,0.4732,0.5528,-0.124,0.1464,0.0568,-0.0372,-0.0166666666667,0.425,1.31388888889
1386186008.27,0.3934,0.4628,0.553,-0.1236,0.1438,0.0588,-0.0366,-0.00833333333333,0.438888888889,1.32777777778
1386186008.28,0.3922,0.468,0.5636,-0.1244,0.1286,0.0606,-0.0392,-0.0444444444444,0.447222222222,1.31944444444
1386186008.29,0.3892,0.457,0.5574,-0.1284,0.1162,0.0594,-0.0386,-0.0361111111111,0.441666666667,1.31111111111
1386186008.3,0.3866,0.4634,0.5646,-0.1314,0.1064,0.0592,-0.0386,-0.0361111111111,0.441666666667,1.31111111111
1386186008.31,0.382,0.4634,0.5676,-0.1376,0.0758,0.059,-0.042,-0.0833333333333,0.444444444444,1.28611111111
1386186008.33,0.3826,0.4656,0.563,-0.1356,0.0502,0.0582,-0.042,-0.0833333333333,0.441666666667,1.28611111111
1386186008.33,0.3792,0.4756,0.5596,-0.1332,0.0392,0.0552,-0.043,-0.0972222222222,0.455555555556,1.25555555556
1386186008.35,0.3794,0.5078,0.5456,-0.1272,0.029,0.0412,-0.043,-0.0972222222222,0.45,1.275
1386186008.35,0.3796,0.5242,0.537,-0.1258,0.0332,0.0318,-0.043,-0.0972222222222,0.45,1.275
1386186008.36,0.3756,0.5308,0.5256,-0.1248,0.0454,0.0228,-0.0422,-0.0861111111111,0.436111111111,1.25833333333
1386186008.36,0.3724,0.5332,0.5142,-0.1232,0.0626,0.0162,-0.0422,-0.0861111111111,0.436111111111,1.25833333333
1386186008.37,0.3696,0.5314,0.503,-0.1182,0.0812,0.0126,-0.0422,-0.0861111111111,0.436111111111,1.25833333333
1386186008.38,0.366,0.5236,0.4936,-0.1098,0.1008,0.0118,-0.0448,-0.122222222222,0.455555555556,1.29166666667
1386186008.38,0.3642,0.514,0.4902,-0.096,0.12,0.0132,-0.0448,-0.122222222222,0.455555555556,1.29166666667
1386186008.39,0.3656,0.506,0.4946,-0.0776,0.1362,0.0158,-0.0462,-0.141666666667,0.458333333333,1.25833333333
1386186008.39,0.3702,0.5054,0.5066,-0.0548,0.1482,0.0206,-0.0462,-0.141666666667,0.458333333333,1.25833333333
1386186008.4,0.3744,0.4988,0.52,-0.0306,0.158,0.0278,-0.0448,-0.122222222222,0.469444444444,1.27777777778
1386186008.4,0.3806,0.483,0.5304,-0.0064,0.1692,0.036,-0.0448,-0.122222222222,0.469444444444,1.27777777778
1386186008.41,0.3832,0.4652,0.5386,0.0164,0.1822,0.0424,-0.0458,-0.136111111111,0.477777777778,1.31388888889
1386186008.42,0.387,0.454,0.549,0.0314,0.1944,0.0456,-0.0458,-0.136111111111,0.477777777778,1.31388888889
1386186008.42,0.3898,0.4404,0.5568,0.0534,0.202,0.046,-0.0476,-0.161111111111,0.491666666667,1.33611111111
1386186008.43,0.3962,0.4324,0.5686,0.0738,0.2112,0.0456,-0.0476,-0.161111111111,0.491666666667,1.33611111111
